review,sentiment
"John Cassavetes is on the run from the law. He is at the bottom of the heap. He sees Negro Sidney Poitier as his equal and they quickly become friends, forming a sort of alliance against a bully of a foreman played by Jack Warden.<br /><br />As someone who has worked in a warehouse myself when I was younger, I can tell you that the warehouse fights, complete with tumbling packing cases and flailing grappling hooks are as realistic as it gets. I've been in fights like these myself, although no one got killed.<br /><br />The introduction of Sidney Poitier's widow is a variation on Shakespeare's Shylock ""Do I not bleed?"" This is an anti racist film, which, at the time, was much needed.<br /><br />All the three principle characters - Warden, Cassavetes and Poitier - are superb, with Warden the most outstanding of the three.",positive
"It's not just that the movie is lame. It's more than that. This movie is just unnecessary. Do we need another Western? How about a western with afro-Americans in the titles roles? Sound stupid, implausible and a lame attempt at modernizing the genre? It is. Incredibly lame and simple minded. It's like that lame Baz Luhrman film ""Romeo and Juliet"" where he set it in modern times to attract young folks and create some hype with his revamping of a classic tale. Well, Baz Luhrman failed miserably and so does this mess. The story is actually not bad however the whole idea of removing the racism out of a racist genre by casting an all afro-American cast is racist in itself. It's also puerile and simple minded (like Baz Luhrman-man he's a bad director). Hey (I hear you say) this was directed by Mario Van Peebles! He's also IN the film! How can it be racist? It's not. I said the idea of casting all afro-Americans instead of Caucasians was. The film isn't racist, it's just pointless, stupid and very very boring.",negative
"Well, if it weren't for Ethel Waters and a 7-year-old Sammy Davis, Jr. (here billed without the Jr.), Rufus Jones for President would be one of the worst representations of African-American stereotypes I've seen from the early talkie era and wouldn't have been worth seeing because of that. Ms. Waters is excellent here singing ""Am I Blue?"" and ""Underneath Our Harlem Moon"" while Mr. Davis shows us how his childhood experience in showbiz prepared him for his superstar status as an adult. He's so good tap-dancing here that for awhile I thought he was a little person with decades of experience. So if you're willing to ignore the negative connotations here, Rufus Jones for President should provide some good enjoyment. P.S. This marks the fourth time today I've seen and heard the song, ""I'll Be Glad When You're Dead You Rascal You"" performed on film, this time by Davis. Must have been a very popular song about this time.",negative
"I find Alan Jacobs review very accurate concerning the movie;however I had the opportunity to rent the DVD from blockbuster with a commentary from BYU's Curator, Motion Picture Archives James D'Arc. The then LDS Prophet Heber J. Grant approved of the movie understanding the deviations from historic content for dramatic expression and telescoping events. For example the movie showed Joseph Smith on trial. despite Brigham Young's great oratory in defense of Joseph Smith he was convicted anyway. Then Joseph was killed. Historically Joseph Smith was never convicted of anything. Brigham Young was in Boston when Joseph Smith was arrested for this particular trial. Joseph Smith and his brother Hyrum where both killed before the trial took place.",positive
"This movie is simply awesome. It is so hilarious. Although the skating and other montages are played out, the comedy is awesome. Raab Himself and Brandon Dicamillo are hilarious. There will be moments when you can't breath you're laughing so hard. Plus, there are scenes that you can watch hundreds of times and still laugh. This is one of the funniest comedies I've ever seen.",positive
"I am surprised that so many comments about this film are positive. Having read the book several times (and all the other historical novels by Mika Waltari) there is no way to say much good in this film. If I forget the origins of the story I might consider it a reasonably good epic. Of course to bring such a brick of a book to the big screen is a task not to be envied, but it could be done with class. I can't understand why even the name of Nefernefernefer had to be shortened to just Nefer. I love Peter Ustinov as Kaptah and Marlon Brando probably would have made a better Sinuhe but the overall attitude is too Hollywood to ever make justice to the book. Mind you Mika Waltari left the Premier of this film in the middle of the showing. That's how much he liked it.",negative
"Buddy Manucci(Roy Scheider, solid in a chance leading role)heads a secret undercover police squad called the Seven-Ups whose tactics don't necessarily follow the exact ways of the law. They get the job done in their own way without anything being leaked to the press, and this gives them a freedom to expand their means of getting to the criminals most working detectives and policeman just can not nab. Buddy has a pal from childhood named Vito(Tony Lo Bianco)who swaps information with him regarding mob types and shysters working the streets in NYC. What Buddy doesn't know is that Vito is hatching a scheme using names from Buddy's ""check list""(he has this book open taking down notes provided by Vito, but doesn't know that his friend has copied those very names written within his mind)to set up mob families in a series of mob kidnappings eliciting cash thanks to two cop-posers, Moon(the always-villainous Richard Lynch)and Bo(Bill Hickman)working with him. When this scheme goes awry, with one of the Seven-Ups being killed, Vito becomes fearful because he knows how Buddy can be when he's doggedly after someone..especially when one of his own is murdered.<br /><br />Extremely underrated cop flick has thrilling car chase through New York City as Buddy follows the kidnapping cop-imposter's trying to get them after killing his partner. The film isn't overly complex after the plot is set-up and we realize who is the ring-leader in the scheming of mobsters. Scheider has never been given the credit he deserves as a fine lead actor. He has emotional range and we see how losing his cop and friend takes it's toll on him. The film is briskly paced with good action sequences and sets up an interesting plot of betrayal between friends as greed comes before that childhood friendship and how what seems like a smooth crime-spree against evil mob families can get cops killed.",positive
"Melissa Sagemiller,Wes Bentley,Eliza Dushku and Casey Affleck play young students at Middleton College in the town of Middleton.The four teenagers form two love triangles.One night during an ominous full moon they drive and argue along a slippery and twisting mountain road.Not looking properly they careen into another car and one or more of them are killed.The ghostly nightmare begins...Pretty lousy and politically correct horror flick without gore and nudity.It's obviously influenced by ""Carnival of Souls"".The cinematography is decent,unfortunately there is zero suspense.4 out of 10-just another instantly forgettable teeny-bopper trash.",negative
"Before seeing the sneak preview today of Angels & Demons, I cleared my mind of any uncertainties that might hold me back from enjoying it; the enormous amount of hatred towards Dan Brown, the fact that it was written by Dan Brown, and because Dan Brown's name is slapped on all of the posters. I went in with an open mind, and expected the worse, but instead what I got was a 2 and a half hour Roman cat and mouse game with Forrest Gump, and that is by all means good entertainment value.<br /><br />The movie hangs loosely on the actual novel itself. Harvard symbologist Robert Langdon (Hanks) jets off to Rome after the Pope's sudden death and the re-election through Papal Conclave. Arranging all of this is the carmelengo, Patrick McKenna (McGregor). However, he soon learns of a new threat, one that involves a secret brotherhood making its presence known, an anti-matter time bomb that Vatican City is now targeted with and the kidnapping of four cardinals. Langdon, using his intellects (and trust me, you'll be hearing a LOT from it) is given the task of finding and rescuing them using the mysterious Path of Illumination. Aiding him on the quest is CERN scientist Vittoria Vetra (Zurer), who is also the co-creator of the anti-matter. <br /><br />The movie itself runs at an uneven pace. One minute Langdon and the Swiss Guard are speeding to save a branded cardinal, the next minute he bores you with pointless information about every random object he passes, evidently slowing the book's much anticipated action/thriller sequences down. It makes for an interesting read on paper, but on screen it can go either way. <br /><br />The character's are decently written onto the big screen. Ewan McGregor does a convincing performance as the quiet but knowledgeable Patrick McKenna, famous accent included. Tom Hanks is slightly more agile, intellectually and physically, since his last performance in the mediocre Da Vinci Code. Stellen Skarsgard plays Commander Richter, the straight-faced leader of the Swiss Guard. Unfortunately, neither his nor Ayelet Zurer's performance are worthwhile ones, and instead of playing a part in the story, they are just kicked aside as assets. <br /><br />However, Angels & Demons accomplishes what DVC could never; a thrilling fast-paced movie filled with satisfying explosions, beautiful recreations of St. Peter's Square and Basilica (including many of the churches) and a pulsing bomb counting down the midnight hour. Ron Howard does a decent job at directing this second Langdon adventure, this time taking in much criticism and almost completely exchanging the boring dialogue for tense chases (almost). <br /><br />While newcomers might call it a ""National Treasure 3"" with a much larger threat, there is still enough contagious suspense/thriller eye-candy and brilliant still shots of Rome to breathe in. Fans of the book might feel differently towards the movies drastic changes, but considering the amount of blasphemy and inaccuracy it generates, A&D does exceedingly well at keeping the viewer locked on to the screen this time rather than on their sleepy shoulder. <br /><br />A good book-to-movie adaption that will both appeal and entertain.<br /><br />7.4/10",positive
"- A Mexican priest becomes a wrestler to save an orphanage or something -<br /><br />I went to see this movie because it was about non-WWF wrestling and so I thought it might be funny. It wasn't. It is excruciating to watch. Embarrassing. Any and every opportunity for comedy is mercilessly squandered. <br /><br />I admit I don't like Jack Black anyway. After this I have been racking my brain to think of one good role that he has performed. The only thing I can come up with where he was o.k. was as a necessary foil to the John Cusack character in 'High Fidelity'. Jack Black is one of those awful relentless flat-out ham-it-up knockabout guys (like the little fat one in Abbot & Costello or Jerry Lewis) who should be told that being overbearingly idiotic is not the same thing as being funny. <br /><br />It is not even slapstick. It's just irritating. It's not even stoopid, it's just stupid.<br /><br />I heard good things about Napoleon Dynamite too, but if this is anything to go by I wont be rushing out to find it on DVD.",negative
